case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,cal_seed,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,4,0.017982017982017984,0.02891150551587931,0.03896103896103896,0.08091908091908091,0.034830426320220126,0.03596403596403597,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,5,0.016983016983016984,0.028762616721229168,0.03896103896103896,0.08291708291708291,0.03469026858535953,0.03596403596403597,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,6,0.016983016983016984,0.028667997526577567,0.03796203796203796,0.08591408591408592,0.03460751092549012,0.03296703296703297,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,7,0.017982017982017984,0.02877640164148343,0.03896103896103896,0.08391608391608392,0.034702298969671586,0.03396603396603397,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,8,0.017982017982017984,0.028788445900087292,0.03896103896103896,0.07592407592407592,0.03472172982366624,0.03396603396603397,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,9,0.01998001998001998,0.028803781561747958,0.03796203796203796,0.07992007992007992,0.034731136514593676,0.03296703296703297,local-only QA candidate
2,23_80,stress,0,frozen_polybeam,full_polybeam,smooth,1000.0,multi,smooth,0.01,1.0,10,0.01998001998001998,0.02875119225450428,0.03796203796203796,0.07992007992007992,0.03468424093289949,0.03296703296703297,local-only QA candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,1,0.003996003996003996,0.030358796980804494,0.4955044955044955,0.003996003996003996,0.03488945075536496,0.5794205794205795,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,2,0.005994005994005994,0.03035071556254997,0.4935064935064935,0.004995004995004995,0.03488515041328481,0.5784215784215784,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,3,0.000999000999000999,0.030336228084917014,0.4955044955044955,0.001998001998001998,0.034854938528817506,0.5784215784215784,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,4,0.002997002997002997,0.03035634461128669,0.4965034965034965,0.002997002997002997,0.03487268373367948,0.5774225774225774,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,5,0.000999000999000999,0.03033911511363544,0.5014985014985015,0.002997002997002997,0.03486810733189501,0.5814185814185814,window-integrated candidate
