baseline_id,baseline_class,lst_stratum,lst_bin_id,sat_rank,norad_id,sat_name,epoch,freq_mhz,peak_alt_deg,mean_alt_visible_deg,n_time_visible,doppler_min_hz,doppler_max_hz,doppler_abs_max_hz,doppler_span_hz,doppler_abs_max_khz,doppler_span_khz,fraction_of_48p8khz_spacing,fraction_of_12p2khz_linewidth
4_196,long,typical,53,2,49131,SAT-49131-E26001.19831864,26001.19831864,150.0,84.20193791340341,78.28039406917509,6,-1013.9596881421111,976.7209472835029,1013.9596881421111,1990.6806354256141,1.0139596881421111,1.9906806354256141,0.020777862461928507,0.08311144984771403
4_196,long,typical,53,3,48408,SAT-48408-E26001.97332446,26001.97332446,150.0,72.81205438093203,71.54536624483998,4,-591.3930509594064,603.3982771762594,603.3982771762594,1194.791328135666,0.6033982771762594,1.194791328135666,0.01236471879459548,0.04945887517838192
4_196,long,stress,0,1,46696,SAT-46696-E26001.00003472,26001.00003472,150.0,86.61659354435372,80.62094422858915,4,-894.0740217705511,742.6665137295333,894.0740217705511,1636.7405355000844,0.8940740217705511,1.6367405355000844,0.018321188970708013,0.07328475588283205
4_196,long,stress,0,2,48029,SAT-48029-E26001.15965029,26001.15965029,150.0,85.10376826151555,79.60637395586066,5,-902.1129403576266,729.2583002725264,902.1129403576266,1631.371240630153,0.9021129403576266,1.6313712406301528,0.018485920908967758,0.07394368363587103
4_196,long,stress,0,3,44725,SAT-44725-E26001.60793575,26001.60793575,150.0,84.15168638094258,79.02850166418537,5,-860.8845718776031,769.2234936057982,860.8845718776031,1630.1080654834013,0.8608845718776031,1.6301080654834013,0.017641077292573835,0.07056430917029534
4_196,long,stress,0,4,46687,SAT-46687-E26001.59635556,26001.59635556,150.0,73.7079505041063,72.30809952335672,3,-641.2314523617189,387.24271486930104,641.2314523617189,1028.47416723102,0.6412314523617189,1.0284741672310198,0.013139988777904076,0.052559955111616305
4_76,mid,quiet,17,1,46168,SAT-46168-E26001.00003472,26001.00003472,150.0,83.2290292216474,76.61374736970596,5,-1020.6260457274509,1036.6777235432492,1036.6777235432492,2057.3037692707003,1.0366777235432492,2.0573037692707,0.02124339597424691,0.08497358389698764
4_76,mid,quiet,17,2,47826,SAT-47826-E26001.52824829,26001.52824829,150.0,73.75688275630966,72.82735473480648,3,-389.09747455923895,415.38717372138433,415.38717372138433,804.4846482806233,0.41538717372138434,0.8044846482806234,0.008512032248389024,0.034048128993556095
4_76,mid,typical,33,1,48424,SAT-48424-E26001.19048234,26001.19048234,150.0,83.83364563261215,78.1266241625545,6,-948.2712727179535,961.589130170857,961.589130170857,1909.8604028888103,0.9615891301708569,1.9098604028888102,0.019704695290386414,0.07881878116154566
4_76,mid,typical,33,2,44451,SAT-44451-E26001.17894081,26001.17894081,150.0,82.53677988377483,78.24712051309083,5,-804.6535974948472,737.1428883925984,804.6535974948472,1541.7964858874457,0.8046535974948472,1.5417964858874458,0.016488803227353428,0.06595521290941371
