case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.0,5.0,linear,0.002997002997002997,0.03487705799495972,0.5774225774225774,0.002997002997002997,0.030348640069162144,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.0001,0.5,linear,0.002997002997002997,0.034876954620922655,0.5774225774225774,0.002997002997002997,0.030348383251488607,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.0001,1.0,linear,0.002997002997002997,0.03487774922050913,0.5774225774225774,0.002997002997002997,0.030349308322979628,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.0001,5.0,linear,0.002997002997002997,0.0348766772097046,0.5774225774225774,0.002997002997002997,0.030348293280794095,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.001,0.5,linear,0.003996003996003996,0.034883520969068015,0.5784215784215784,0.002997002997002997,0.030356835421612445,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.001,1.0,linear,0.003996003996003996,0.03487557870413338,0.5774225774225774,0.003996003996003996,0.030346950138727468,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.001,5.0,linear,0.003996003996003996,0.034874029338364684,0.5774225774225774,0.002997002997002997,0.030346529916288598,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,0.5,linear,0.005994005994005994,0.03489326964356315,0.5824175824175825,0.007992007992007992,0.030367178536428972,0.4995004995004995,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,linear,0.004995004995004995,0.03494066184335354,0.5784215784215784,0.005994005994005994,0.030420916392615887,0.4965034965034965,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,5.0,linear,0.001998001998001998,0.03483605899106092,0.5754245754245755,0.000999000999000999,0.03030233854849699,0.4945054945054945,window-integrated candidate,20261431,20261227,10
