baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,candidate_statistical__frozen_polybeam,candidate_statistical__full_polybeam,PTE_global_absint__frozen_polybeam,PTE_global_absint__full_polybeam,PTE_global_max__frozen_polybeam,PTE_global_max__full_polybeam,Z_PS_max__frozen_polybeam,Z_PS_max__full_polybeam,relative_abs_bias__frozen_polybeam,relative_abs_bias__full_polybeam,delta_Z_PS_max,delta_PTE_global_absint,delta_PTE_global_max,delta_relative_abs_bias,frozen_only_candidate,full_only_candidate
11_10,quiet,16,smooth,1000.0,multi,False,False,0.099009900990099,0.0891089108910891,0.4851485148514851,0.2871287128712871,0.1124637545196773,0.5035933599790503,0.0132056981311118,0.0198365797191082,0.39112960545937303,-0.009900990099009896,-0.19801980198019797,0.0066308815879964,False,False
11_10,quiet,16,smooth,1000.0,single,False,False,0.7920792079207921,0.9405940594059404,0.3663366336633663,0.2475247524752475,0.263690421183717,0.7733495401691334,0.0079293330954909,0.0102008819178301,0.5096591189854164,0.1485148514851483,-0.11881188118811878,0.0022715488223392,False,False
11_10,stress,64,khz_comb,30.0,multi,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,khz_comb,30.0,single,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,khz_comb,1000.0,multi,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,khz_comb,1000.0,single,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,lines,30.0,multi,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,lines,30.0,single,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,lines,1000.0,multi,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,lines,1000.0,single,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,smooth,30.0,multi,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,smooth,30.0,single,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,smooth,1000.0,multi,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,stress,64,smooth,1000.0,single,False,False,1.0,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,False,False
11_10,typical,44,khz_comb,30.0,multi,False,False,0.1287128712871287,0.099009900990099,0.1386138613861386,0.1287128712871287,0.926264406642448,1.0719146642057211,0.0062383390495818,0.0074982793106994,0.1456502575632731,-0.029702970297029688,-0.00990099009900991,0.0012599402611176,False,False
11_10,typical,44,khz_comb,30.0,single,False,False,1.0,0.9702970297029704,0.1881188118811881,0.2871287128712871,1.0579680892961028,0.5560152325284768,0.0029901236487046,0.003524857673153,-0.5019528567676259,-0.02970297029702962,0.09900990099009901,0.0005347340244484002,False,False
11_10,typical,44,khz_comb,1000.0,multi,False,False,0.099009900990099,0.0495049504950495,0.0594059405940594,0.0693069306930693,1.7652494341657885,1.4412511492133728,0.2275189866862329,0.2712618255354508,-0.32399828495241567,-0.0495049504950495,0.009900990099009896,0.0437428388492179,False,False
11_10,typical,44,khz_comb,1000.0,single,False,False,0.9405940594059404,0.99009900990099,0.3366336633663366,0.3069306930693069,0.9050135162736171,0.5991418806329252,0.1003451527710276,0.1183949332757028,-0.305871635640692,0.04950495049504955,-0.029702970297029674,0.018049780504675206,False,False
11_10,typical,44,lines,30.0,multi,False,False,0.1683168316831683,0.1782178217821782,0.0396039603960396,0.2673267326732673,1.1599784011202203,0.724931703371585,0.0067010265853219,0.0085558813624371,-0.43504669774863536,0.00990099009900991,0.2277227722772277,0.0018548547771152007,False,False
11_10,typical,44,lines,30.0,single,False,False,0.9405940594059404,0.900990099009901,0.1584158415841584,0.0594059405940594,1.6692313995953711,1.5172933646054636,0.0032367433224293,0.0040073315622339,-0.15193803498990754,-0.03960396039603942,-0.09900990099009899,0.0007705882398046002,False,False
11_10,typical,44,lines,1000.0,multi,False,False,0.1089108910891089,0.1089108910891089,0.099009900990099,0.0693069306930693,1.8184991140761992,1.502537071018175,0.2419430062391905,0.3120495613213603,-0.31596204305802433,0.0,-0.0297029702970297,0.07010655508216981,False,False
11_10,typical,44,lines,1000.0,single,False,False,0.99009900990099,0.99009900990099,0.099009900990099,0.2574257425742574,2.081890990036864,0.6526947102427323,0.1086054719033663,0.1356070180171933,-1.4291962797941318,0.0,0.1584158415841584,0.027001546113827005,False,False
11_10,typical,44,smooth,30.0,multi,False,False,0.1584158415841584,0.0891089108910891,0.1485148514851485,0.198019801980198,0.8828919403128287,0.9086403186638372,0.0067008826824069,0.0085542000465129,0.025748378351008516,-0.06930693069306929,0.04950495049504949,0.0018533173641060007,False,False
11_10,typical,44,smooth,30.0,single,False,False,0.9108910891089108,0.9207920792079208,0.1881188118811881,0.0792079207920792,1.2854157220104898,1.6046520683124224,0.0032355820433076,0.0040086131151123,0.31923634630193254,0.00990099009901002,-0.1089108910891089,0.0007730310718047002,False,False
11_10,typical,44,smooth,1000.0,multi,False,False,0.1188118811881188,0.1485148514851485,0.1287128712871287,0.1188118811881188,1.4745607924227642,1.3246716770505982,0.2419718556825749,0.3120226338864844,-0.14988911537216598,0.0297029702970297,-0.009900990099009882,0.07005077820390948,False,False
11_10,typical,44,smooth,1000.0,single,False,False,1.0,0.99009900990099,0.0594059405940594,0.2673267326732673,3.1399520428196617,0.8384690230205638,0.1085709950518685,0.1357193795817749,-2.3014830197990976,-0.00990099009901002,0.20792079207920788,0.027148384529906408,False,False
157_146,quiet,16,khz_comb,30.0,multi,False,False,0.198019801980198,0.198019801980198,0.2673267326732673,0.297029702970297,0.7327488609963694,0.5236532885015037,0.0001438747292524,0.000188134196311,-0.20909557249486566,0.0,0.02970297029702973,4.425946705859999e-05,False,False
157_146,quiet,16,khz_comb,30.0,single,False,False,0.7920792079207921,0.8910891089108911,0.4059405940594059,0.0594059405940594,0.2432026476260703,0.8026461029711783,9.60477000123908e-05,0.0001020846589847,0.559443455345108,0.09900990099009899,-0.3465346534653465,6.036958972309203e-06,False,False
157_146,quiet,16,khz_comb,1000.0,multi,False,False,0.2376237623762376,0.2079207920792079,0.3168316831683168,0.3168316831683168,0.4171185544227514,0.5545854099219157,0.0047978208498021,0.0062693596245262,0.13746685549916432,-0.0297029702970297,0.0,0.0014715387747241005,False,False
157_146,quiet,16,khz_comb,1000.0,single,False,False,0.7722772277227723,0.8316831683168316,0.4158415841584158,0.1089108910891089,0.2217665594086765,0.8498136730756839,0.0032049259221129,0.003411840420241,0.6280471136670074,0.05940594059405935,-0.3069306930693069,0.00020691449812810028,False,False
