morphology,injection_mode,bg_id,baseline_group,S_ref_jy,tau_ns,kpar,kperp,bias,null_median_bias,Z_PS
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-997.503805175038,-0.3637268886157495,0.00494381046924773,0.02623423012926196,-0.011741009485831455,0.7058092601697837
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-985.03500761035,-0.3591803025080526,0.00494381046924773,-0.015664579584267813,0.00013978410336790148,-0.6615185497020009
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-972.5662100456622,-0.3546337164003558,0.00494381046924773,0.01660110036414153,-6.499336603837946e-05,0.3999718421862586
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-960.0974124809742,-0.3500871302926589,0.00494381046924773,0.029220901841313207,-0.00033349167341611974,0.6166876172857916
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-947.6286149162862,-0.34554054418496205,0.00494381046924773,0.015289683573769253,-0.006705283923849947,0.5687698056119126
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-935.1598173515981,-0.3409939580772652,0.00494381046924773,-0.006055421388111881,0.0007305841837421667,-0.21349383089331966
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-922.6910197869103,-0.3364473719695683,0.00494381046924773,-0.03240298356240601,-0.002929783684095355,-0.6219988743657479
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-910.2222222222223,-0.33190078586187144,0.00494381046924773,-0.030069023848255938,-0.0013705906472978313,-0.8314035906648399
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-897.7534246575342,-0.3273541997541745,0.00494381046924773,-0.031230883499489437,0.0006315601018442862,-0.7206741373842813
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-885.2846270928463,-0.3228076136464777,0.00494381046924773,0.011347746249725787,0.001688574663091913,0.152046754027588
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-872.8158295281584,-0.3182610275387808,0.00494381046924773,0.05126020106399665,0.008155064539096202,0.6574557742340694
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-860.3470319634704,-0.31371444143108396,0.00494381046924773,-0.015087723280373666,-6.850471748975906e-06,-0.345396650398814
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-847.8782343987824,-0.3091678553233871,0.00494381046924773,-0.03502640842773985,-0.0044375616604810375,-0.6626025642459593
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-835.4094368340944,-0.3046212692156902,0.00494381046924773,-0.02555340996372024,6.405652085561542e-05,-0.6900356434501349
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-822.9406392694065,-0.3000746831079934,0.00494381046924773,0.021574460985902988,-0.0012955543338932785,0.5500157352760863
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-810.4718417047184,-0.2955280970002965,0.00494381046924773,0.026864905968068342,0.0026415063164364483,0.6772154490721781
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-798.0030441400305,-0.29098151089259966,0.00494381046924773,-0.007321166144691915,0.003301184790288403,-0.6020442757908616
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-785.5342465753425,-0.28643492478490273,0.00494381046924773,-0.00997329103914879,-0.000988992384469256,-1.5564011484074147
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-773.0654490106544,-0.28188833867720586,0.00494381046924773,-0.041874802066899974,-0.0024463010635713545,-0.7668634459385296
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-760.5966514459666,-0.277341752569509,0.00494381046924773,0.0019933756714181072,0.004707925889874787,-0.05057342552697581
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,-748.1278538812786,-0.2727951664618122,0.00494381046924773,0.05180118324892646,0.0029510765446048026,0.7598295799492615
