case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,linear,0.004995004995004995,0.03494066184335354,0.5414585414585414,0.002997002997002997,0.030420916392615887,0.4975024975024975,window-integrated candidate,20262247,20261839,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,5.0,linear,0.002997002997002997,0.03483605899106092,0.5414585414585414,0.000999000999000999,0.03030233854849699,0.4965034965034965,window-integrated candidate,20262247,20261839,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.0,,linear,0.003996003996003996,0.031261326576950396,0.4925074925074925,0.003996003996003996,0.03981525633746512,0.5354645354645354,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.0001,,linear,0.003996003996003996,0.03126124948122756,0.4925074925074925,0.003996003996003996,0.03981514112863411,0.5354645354645354,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.001,,linear,0.003996003996003996,0.031262776831048514,0.4925074925074925,0.003996003996003996,0.039816576991251344,0.5354645354645354,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,linear,0.003996003996003996,0.031254182393316766,0.4905094905094905,0.003996003996003996,0.039820629515931356,0.5344655344655345,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0,0.5,linear,0.003996003996003996,0.031261326576950396,0.4925074925074925,0.003996003996003996,0.03981525633746512,0.5354645354645354,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0,1.0,linear,0.003996003996003996,0.031261326576950396,0.4925074925074925,0.003996003996003996,0.03981525633746512,0.5354645354645354,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0,5.0,linear,0.003996003996003996,0.031261326576950396,0.4925074925074925,0.003996003996003996,0.03981525633746512,0.5354645354645354,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0001,0.5,linear,0.003996003996003996,0.031262313969259985,0.4925074925074925,0.003996003996003996,0.03981605804144044,0.5344655344655345,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0001,1.0,linear,0.003996003996003996,0.03126126371457289,0.4925074925074925,0.003996003996003996,0.039815208421759916,0.5354645354645354,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0001,5.0,linear,0.003996003996003996,0.03126103962694477,0.4925074925074925,0.003996003996003996,0.03981503020139581,0.5354645354645354,window-integrated candidate,20261567,20261975,10
6,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.001,0.5,linear,0.003996003996003996,0.03125451122386869,0.4925074925074925,0.003996003996003996,0.03980820290117666,0.5354645354645354,window-integrated candidate,20261567,20261975,10
